Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11432,Villeneuve-lès-Montréal,356,152.27,181637,22600,100.2,8.7,27,28.4,20.5,42,4.575,3,15,11.1,0,10.3,0.81
11433,Villeneuve-Minervois,986,40.04,759958,19080,85.9,10.9,53.3,24,25.8,154,5.735,3,15,4.7,12.4,12.1,17.29
11434,Villepinte,1 284,81.82,836281,20070,89,5.1,26.9,21.1,26,82,4.47,3,15,3.3,13.1,19.4,05.02
11435,Villerouge-Termenès,164,08.09,97807,15450,83.7,0,33.3,29.1,25.4,205,14.24333333,3,30,3.2,13.5,28.8,8.33
11436,Villesèque-des-Corbières,373,11.68,1179501,16930,89.3,13.9,33.3,16.8,30.5,96,5.148333333,7,30,5.1,6.8,19.5,
11437,Villesèquelande,914,168.04,471039,21960,96.3,7.8,18.5,28,20.7,64,3.943333333,3,7,4.4,17.2,9.6,4.18
11438,Villesiscle,383,69.78,219063,21110,95.1,9.9,36.4,28.7,20.8,81,6.978333333,3,3,0,16.7,6.6,
11439,Villespy,424,63.95,228511,20450,93.5,10.8,37.5,27.7,20.2,72,5.735,7,15,13.2,8.7,17.4,
11440,Villetritouls,34,6.97,27430,,105,0,,29.4,23.5,,4.253333333,3,30,0,0,9.1,
11441,Vinassan,2 724,297.1,1707181,23020,95,9.3,26.9,29.7,22.4,105,4.225,3,7,4.1,8.6,10.4,1.76
